Model,Brand,Product Category,Description,Dealer Ex GST, RRP Inc. GST 
CHB-8F,Pliant,Intercom - CrewCom,"AOR Eight port, 1RU, half-rack fibre Hub, provides routing and expansion capabilities to a CrewNet infrastructure via eight duplex LC fibre ports and a single RJ-45 port. Power is received over a CrewNet copper connection or via a 48VDC power supply. INCLUDES: 48VDC Power Supply, USB-A to Micro-B Cable, 15ft. (4.57m) Cat 5e Cable, fibre Optic Cable, Rubber Feet",5229.3,"8,591.00"
CRP-12-900AN,Pliant,Intercom - CrewCom,"AOR Pliant 900MHz, one-volume, two-channel (A or B), full-duplex Radio Pack",3425.13,"5,627.00"
CRP-12-900AN,Pliant,Intercom - CrewCom,"AOR Pliant 900MHz, one-volume, two-channel (A or B), full-duplex Radio Pack",3425.13,"5,627.00"
CRP-22-900AN,Pliant,Intercom - CrewCom,"AOR 900MHz, two-volume, full-duplex Radio Pack. Simultaneously listen and talk on two conferences. Features intuitive controls, a compact lightweight design, advanced RF technology, and a backlit LCD. (Oceania countries only) INCLUDES: Rechargeable Li-Poly battery, International Multiblade
Wall Charger, USB-A to Micro-B Cable",4025.91,"6,614.00"
CRP-44-900AN,Pliant,Intercom - CrewCom,"AOR 900MHz, four-volume, full-duplex Radio Pack. Simultaneously listen and talk on two conferences. Features intuitive controls, a compact lightweight design, advanced RF technology, and a backlit LCD. (Oceania countries only) INCLUDES: Rechargeable Li-Poly battery, International Multiblade
Wall Charger, USB-A to Micro-B Cable",4998.61,"8,212.00"
CRP-C12-900AN,Pliant,Intercom - CrewCom,"AOR 900MHz AN, one-volume, two-conference (A/B), full-duplex, compact Radio Pack. Simultaneously listen on two conferences in Dual Listen mode. Features intuitive controls, a very small lightweight design, advanced RF technology, and a sunlight readable backlit LCD display. Note: This Radio Pack is ONLY for sale within Oceanea.",3008.78,"4,943.00"
CRT-900AN,Pliant,Intercom - CrewCom,"AOR 900MHz Radio Transceiver, supports 6 normal Radio Packs or 32 High Density Radio Packs. Power is provided over a CrewNet copper connection or via an optional 48 VDC power supply (sold separately). (Oceania countries only) INCLUDES: 900MHz, 2dBi omni-directional antennas (x2), 15ft. (4.57m) Cat 5e Cable, USB-A to Micro-B Cable, Mounting plate",4998.61,"8,212.00"
PAC-CC-4CASE,Pliant,Intercom - CrewCom,"AOR Travel case with custom foam and lid organizer to hold a complete four-up CrewCom system. Compartments for one Control Unit, four Radio Packs, two Radio Transceivers, one Hub or Expansion unit, one 5-bay battery charger with power supply, and up to four SmartBoom headsets. Additional lid storage to hold antennas, cables, power supplies, batteries and other
items. INCLUDES: Lid Utility Organizer and Custom Foam",3101.3,"5,095.00"
PAC-CC-6CASE,Pliant,Intercom - CrewCom,"AOR Travel case with custom foam and lid organizer to hold a complete six-up CrewCom system. Compartments for one Control Unit, up to six Radio Packs, up to two Radio Transceivers, one 5-bay battery charger with power supply, five SmartBoom headsets, two antennas, and ten Li-Poly batteries. Additional lid storage to hold cables, power supplies and other items.
INCLUDES: Lid Utility Organizer and Custom Foam",3378.26,"5,550.00"
PAC-FLX-44,Pliant,Intercom - CrewCom,AOR Compact 4-Pin XLR Female to 4-Pin XLR Female FleXLR gender adapter for adapting to 4-Pin XLR Male headsets. Adapts to any Pliant packs and CUs.,115.65,190
PAC-FLX-44-6PK,Pliant,Intercom - CrewCom,AOR Compact 4-Pin XLR Female to 4-Pin XLR Female FleXLR gender adapter (6 pack) for adapting to 4-Pin XLR Male headsets. Adapts to any Pliant packs and CUs.,538.09,884
PAC-FLX-45,Pliant,Intercom - CrewCom,AOR Compact 4-Pin XLR Female to 5-Pin XLR Female FleXLR gender adapter for adapting to 5-Pin XLR Male headsets. Adapts to any Pliant packs and CUs.,121.13,199
PAC-FLX-45-6PK,Pliant,Intercom - CrewCom,AOR  Compact 4-Pin XLR Female to 5-Pin XLR Female FleXLR gender adapter (6 pack) for adapting to 5-Pin XLR Male headsets. Adapts to any Pliant packs and CUs.,538.09,884
PAC-KEN-2P,Pliant,Intercom - MicroCom,MicroCom® Two-Way Radio Adapter Cable for Compatible Kenwood Radios,154.61,254
PAC-MC4W-IO,Pliant,Intercom - MicroCom, MicroCom XR 4 wire IN/OUT and 2 way radio headset adapter. Allow integration of 4 wire or 2 way radio systems. Allows the use of a local headset at the same time. ,500.96,823
PAC-MCXR-5CASE,Pliant,Intercom - MicroCom,"MicroComIP67 Rated Black Pliant-Branded Hard Travel Case with custom foam to hold up to 5 MicroCom XR beltpacks, multiple headsets, charger and accessories. Weight: 9 lbs. (4.1 kg) Dimensions: 20.16 x 16.85 x 8.37 in. (51.2 x 42.8 x 21.25 cm.)",889.3,"1,461.00"
PAC-MOT-X83,Pliant,Intercom - MicroCom,MicroCom® Two-Way Radio Adapter Cable for Compatible Motorola Radios,154.61,254
PAC-PTT-TA6F,Pliant,Intercom - MicroCom,In-line PTT (Push-to-Talk) Adapter with a Dual 3.5mm Female and a TA6F Mini XLR Female Connector to use for remote button operation with the PHS-IEHU-DMG Universal Fit In-Ear Headset combined with CrewCom C12 Compact Radio Packs. Note: This adapter ONLY works with CrewCom C12 Compact Radio Packs.,317.13,521
PAC-RMK-D,Pliant,Intercom - CrewCom,AOR 1RU mounting kit to rack any combination of two CrewCom halfrack units side by side in a 19” rack.,223.39,367
PAC-RMK-S,Pliant,Intercom - CrewCom,AOR 1RU mounting kit to rack any single CrewCom half-rack unit in a 19” rack.,177.13,291
PAC-RTM-DK,Pliant,Intercom - CrewCom,AOR Dual Transceiver Mounting Kit which allows for easy mounting of one or two CrewCom Radio Transceivers in a single location.,972.7,"1,598.00"
PAC-RTM-SK,Pliant,Intercom - CrewCom,AOR Single Transceiver Mounting Kit which allows for easy mounting of a single CrewCom Radio Transceiver.,926.43,"1,522.00"
PAC-SMF-6LC,Pliant,Intercom - CrewCom,AOR 6 foot 9/125?m Single Mode Duplex LC to LC fibre Patch Cable. Built with PVC(OFNR)/LSZH/Riser cable jacket this cable meets RoHS compliant and IEEE 802.3z standards. For use on long connections between applicable CrewCom devices (up to 10km).,38.35,63
PAC-US6-CHG,Pliant,Intercom - MicroCom,MicroCom 6 Port USB Charger.,250.78,412
PAN-YA906-KIT,Pliant,Intercom - CrewCom,"AOR 900MHz, 6dBi Dual Yagi directional antenna kit including two Yagi antennas and all necessary mounting hardware. For use ONLY with 900 MHz (Tempest900 or CrewCom900) Products. **ONLY FOR USE IN NORTH AMERICA AND OCEANIA INCLUDES: 6 dBi 900MHz Yagi directional antennas (x2), ball head mounts (x2), L-bracket (x1), 4 ft. (1.23m) coax cables (x2), Bogen “C” clamp (x1), ¼-20 x3"" hex standoff (x2), Screws (#10- 2 X ½""PPH (x2), ¼-20 X1/2"" PPPH (x2), ¼-20 Thumb Screw(x2)",3332,"5,474.00"
PBT-HSXRC-66,Pliant,Intercom - MicroCom,6+6 Drop-in Charger for MicroCom XR All-In-One Wireless Headsets. Supports both single-ear and dual-ear all-in-one wireless headsets and can charge up to six headsets and six batteries simultaneously.,1460.87,"2,400.00"
PBT-LIP-01,Pliant,Intercom - CrewCom,"3.7 VDC, 2000 mAh rechargeable Lithium-Polymer battery for use with Pliant Tempest Belt Stations, Tempest MasterBelt, and CrewCom Radio Packs.",278.17,457
PBT-RECCHG-10,Pliant,Intercom - MicroCom,MicroCom 10 slot drop in charger to suit PMC-REC-900AN receiver packs only.,1297.13,"2,131.00"
PBT-RPC-66,Pliant,Intercom - CrewCom,AOR Six bay drop-in charger for charging up to six batteries in the radio pack and up to six stand alone batteries simultaniuosly. INCLUDES: Power Supply with Region Specific Power Cord. Batteries are not included.,2212,"3,634.00"
PBT-RPC-IAC12,Pliant,Intercom - CrewCom,AOR Drop-in charger insert adapter for use with the CRP-C12 series of radio packs and the PBT-RPC-66 6+6 Drop-In Charger. This adapter ONLY works with the CrewCom Compact (C12) Radio Packs.,213.04,350
PBT-XRC-55,Pliant,Intercom - MicroCom,MicroCom XR 5+5 slot drop-in charger for charging up to five batteries in the belt pack and up to five stand-alone batteries simultaneously. INCLUDES: Power Cord. Suits MicroCom XR only,1239.3,"2,036.00"
PC-ANTCAB-20UF,Pliant,Intercom - CrewCom,AOR 20 foot (6.1 m) LMR400 Ultra-flex coaxial antenna cable with RPTNC plug and N-Male connectors. For use with optional directional antenna (Not for extending standard whip antenna).,372.52,612
PC-ANTCAB-50UF,Pliant,Intercom - CrewCom,AOR 50 foot (15.2 m) LMR400 Ultra-flex coaxial antenna cable with RP-TNC plug and N-Male connectors. For use with optional directional antenna (Not for extending standard whip antenna).,762.09,"1,252.00"
PC-ANTCABLE,Pliant,Intercom - CrewCom,AOR 4 foot (1.23 m) RG-58 C/U coaxial antenna cable with RP-TNC plug and N-Male connectors.,124.78,205
PC-ANTCABLE-10,Pliant,Intercom - CrewCom,AOR 10 foot (3 m) RG-58 C/U coaxial antenna cable with RP-TNC plug and N-Male connectors.,196,322
PC-ANT-DIR906,Pliant,Intercom - CrewCom,"AOR 6 dBi 900MHz Yagi directional antenna for use with Tempest or CrewCom 900MHz wireless products. ** ONLY FOR USE IN NORTH AMERICA, AUSTRALIA & NEW ZEALAND. INCLUDES: U-Bolt Mounting Hardware",708.52,"1,164.00"
PHS-CLIP-6PK,Pliant,Intercom - CrewCom,AOR Replacement Magnetic Cable Clip (6 pack) for use with all Pliant Headsets,80.96,133
PHS-IEHU-TA6F,Pliant,Intercom - CrewCom,"AOR Single Ear Universal Fit (Left or Right Ear) In-Ear Headset with a noise cancelling electret microphone and a 6-Pin Female Mini XLR (TA6F) connector, for use with CrewCom Compact (CRP-C12) Radio Packs. This in-ear headset also supports custom ear molds from both Sensaphonics and Coda Room Audio.",343.3,564
PHS-IEHU-TA6F,Pliant,Intercom - CrewCom,"AOR Single Ear Universal Fit (Left or Right Ear) In-Ear Headset with a noise cancelling electret microphone and a 6-Pin Female Mini XLR (TA6F) connector, for use with CrewCom Compact (CRP-C12) Radio Packs. This in-ear headset also supports custom ear molds from both Sensaphonics and Coda Room Audio.",343.3,564
PHS-IEL-M,Pliant,Intercom - MicroCom,"MicroCom In Ear Headset, Single Ear, Left Only",222.78,366
PHS-IELPTT-M,Pliant,Intercom - MicroCom,"MicroCom In Ear Headset with PTT Button, Single Ear Left",301.3,495
PHS-IE-REC,Pliant,Intercom - MicroCom,"MicroCom  in-ear Eartube. Listen-only single ear, for left or right ear. The eartube has a 2.5mm connector that is compatible with XR Receiver.",115.65,190
PHS-LAV-DM,Pliant,Intercom - MicroCom,MicroCom Lavalier Microphone and Eartube,239.83,394
PHS-LAVPTT-DM,Pliant,Intercom - MicroCom,MicroCom Lavalier Microphone and Eartube with PTT Button with Dual Mini Connector for MicroCom,337.22,554
PHS-OE-REC,Pliant,Intercom - MicroCom,"MicroCom over-ear earpiece is a listen-only, single-ear earpiecewith a 2.5mm connector for MicroCom 900XR Receivers.",80.96,133
PHS-SB110-4F,Pliant,Intercom - CrewCom,"AOR Professional single ear headset. INCLUDES: Replaceable 1.52m cable with 
4-pin XLR Female connector termination. Ear Sock (x1)",708.52,"1,164.00"
PHS-SB110-5M,Pliant,Intercom - CrewCom,"AOR Professional single ear headset. INCLUDES: Replaceable 1.52m cable with 
5-pin XLR Male connector termination. Ear Sock (x1)",708.52,"1,164.00"
PHS-SB110E-DMG,Pliant,Intercom - MicroCom,"Professional single-ear headset that utilizes SmartBoom microphone boom On/Off technology. Provides high ambient-noise reduction and produces high quality audio using a cardioid electret microphone. Features a flexible ambidextrous design, soft foam padding, foldable ear cup, replaceable ear, head, and temple cushions. Wired with a dual 3.5mm gold connector for use with all MicroCom BeltPacks.",708.52,"1,164.00"
PHS-SB110E-TA6F,Pliant,Intercom - CrewCom,"AOR Professional single-ear headset that utilizes SmartBoom microphone boom On/Off technology. Provides high ambient-noise reduction and produces high quality audio using a cardioid electret microphone. Features a flexible ambidextrous design, soft foam padding, foldable ear cup, replaceable ear, head, and temple cushions. Wired with a 6-Pin Female Mini XLR cable.",650.7,"1,069.00"
PHS-SB110-TA6F,Pliant,Intercom - CrewCom,"AOR Professional single-ear headset that utilizes SmartBoom microphone boom On/Off technology. Provides high ambient-noise reduction and produces high quality audio using a cardioid dynamic microphone. Features a flexible ambidextrous design, soft foam padding, foldable ear cup, replaceable ear and temple cushions, and magnetic cable clip. Supplied with a 6-Pin Female Mini XLR (TA6F) Connector, for use with CrewCom Compact (C12) Radio Packs.",650.7,"1,069.00"
PHS-SB110-TA6F,Pliant,Intercom - CrewCom,"AOR Professional single-ear headset that utilizes SmartBoom microphone boom On/Off technology. Provides high ambient-noise reduction and produces high quality audio using a cardioid dynamic microphone. Features a flexible ambidextrous design, soft foam padding, foldable ear cup, replaceable ear and temple cushions, and magnetic cable clip. Supplied with a 6-Pin Female Mini XLR (TA6F) Connector, for use with CrewCom Compact (C12) Radio Packs.",650.7,"1,069.00"
PHS-SB110-U,Pliant,Intercom - CrewCom,AOR Professional single ear headset. INCLUDES: Replaceable 1.52m cable (unterminated). Ear Sock (x1),708.52,"1,164.00"
PHS-SB11L2E-4F,Pliant,Intercom - CrewCom,"AOR Professional single-ear lightweight headset that utilizes SmartBoom microphone boom On/Off technology. High quality audio using a cardioid electret microphone. Features a flexible ambidextrous design, soft foam padding, and replaceable ear cushion. Wired with a 4-Pin XLR Female connector.",440.09,723
PHS-SB11L2E-DMG,Pliant,Intercom - CrewCom,"Professional single-ear lightweight headset that utilizes SmartBoom microphone boom On/Off technology. High quality audio using a cardioid electret microphone. Features a flexible ambidextrous design, soft foam padding, and replaceable ear cushion. Wired with a dual 3.5mm connector.",478.43,786
PHS-SB210-4F,Pliant,Intercom - CrewCom,AOR Professional dual ear headset. INCLUDES: Replaceable 1.52 m cable with 4-pin XLR Female connector termination. Ear Sock (x2),779.74,"1,281.00"
PHS-SB210-5M,Pliant,Intercom - CrewCom,AOR Professional dual ear headset. INCLUDES: Replaceable 1.52 m cable with 5-pin XLR Male connector termination. Ear Sock (x2),779.74,"1,281.00"
PHS-SB210E-DMG,Pliant,Intercom - MicroCom,"Professional dual-ear headset that utilizes SmartBoom microphone boom On/Off technology. Provides high ambient-noise reduction and produces high quality audio using a cardioid electret microphone. Features a flexible ambidextrous design, soft foam padding, foldable ear cups, replaceable ear, head, and temple cushions. Wired with a dual 3.5mm gold connector cable for use with all MicroCom BeltPacks.",779.74,"1,281.00"
PHS-SB210E-TA6F,Pliant,Intercom - CrewCom,"AOR Professional dual-ear headset that utilizes SmartBoom microphone boom On/Off technology. Provides high ambient-noise reduction and produces high quality audio using a cardioid electret microphone. Features a flexible ambidextrous design, soft foam padding, foldable ear cup, replaceable ear, head, and temple cushions. Wired with a 6-Pin Female Mini XLR cable.",703.65,"1,156.00"
PHS-SB210-TA6F,Pliant,Intercom - CrewCom,"AOR Professional dual-ear headset that utilizes SmartBoom microphone boom On/Off technology. Provides high ambient-noise reduction and produces high quality audio using a cardioid dynamic microphone. Features a flexible ambidextrous design, soft foam padding, foldable ear cup, replaceable ear and temple cushions, and magnetic cable clip. Comes with 6-Pin Mini XLR Female Connector, for use with CrewCom Compact(C12) Radio Packs.",703.65,"1,156.00"
PHS-SB210-U,Pliant,Intercom - CrewCom,AOR Professional dual ear headset. INCLUDES: Replaceable 1.52 m cable (unterminated). Ear Sock (x2),779.74,"1,281.00"
PMC-900M,Pliant,Intercom - MicroCom,"MicroCom 900MHz Single Channel BeltPack with the capability to support up to 5 Full Duplex talkers  and unlimited listeners. Features include, small and unlimited listeners. Features include, small and lightweight design, long 10-hour battery life, encrypted FHSS technology, and water-resistant construction. Includes: Beltpack Holster, USB A to USB Micro Cable, Neck Strap.",970.87,"1,595.00"
PMC-900XR-AN,Pliant,Intercom - MicroCom,"Pliant MicroCom XR 2.4 GHz Full Duplex Wireless Beltpackwith the capability to support up to 10 Full Duplex talkers and unlimited listeners on upto 2 channels. Features include, small and unlimited listeners. Features include, small and lightweight design, long 10-hour battery life, encrypted FHSS technology, and water-resistant construction. Includes: Beltpack Holster, USB A to USB Micro Cable, Neck Strap.",1814.52,"2,981.00"
PMC-HS900XRD,Pliant,Intercom - MicroCom,"MicroCom XR 900MHz two-channel all-in-one dual-ear wireless headset with the capability to support up to 10 full-duplex talkers, unlimited listeners and works in conjunction with any mix of MicroCom XR 900MHz beltpacks and all-in-one headsets. ",2610.09,"4,288.00"
PMC-HS900XRS,Pliant,Intercom - MicroCom,"MicroCom XR 900MHz two-channel all-in-one single-ear wireless headset with the capability to support up to 10 full-duplex talkers, unlimited listeners and works in conjunction with any mix of MicroCom XR 900MHz beltpacks and all-in-one headsets. ",2521.22,"4,142.00"
PMC-REC-900AN,Pliant,Intercom - MicroCom,"MicroCom XR two channel listen only 900Mhz receiver pack. Features include, small and lightweight design, long 10-hour battery life, encrypted FHSS technology. Use with built in speaker or optional earpiece. ",974.52,"1,601.00"
PPS-48V,Pliant,Intercom - CrewCom,"AOR 48VDC Power Supply for use with CrewCom devices (Hub, Radio Transceivers and Audio Expansion Unit).",319.57,525
PPS-48V-02,Pliant,Intercom - CrewCom,AOR 48VDC Power Supply for use with CrewCom devices (CHB-8C-02 and CHB-8F Hubs Only).,319.57,525
SBL-EAR-10PK,Pliant,Intercom - CrewCom,AOR Replacement Ear Pad (10 Pack) for SmartBoom Lite Headsets,47.48,78
SBL-ES-10PK,Pliant,Intercom - CrewCom,AOR Cushion Cover (Ear Sock) 10 Pack for Smartboom Lite Headsets,47.48,78
SBL-WS-10PK,Pliant,Intercom - CrewCom,AOR Replacement foam microphone windscreen 10 Pack. For SmartBoom Lite headsets.,47.48,78
SBP-CAB-4F,Pliant,Intercom - CrewCom,AOR 1.52 m replacement cable with 4 pin female XLR termination. For use with SmartBoomPRO headsets.,102.26,168
SBP-CAB-5M,Pliant,Intercom - CrewCom,AOR 1.52 m replacement cable with 5 pin male XLR termination. For use with SmartBoomPRO headsets.,102.26,168
SBP-ES-10PK,Pliant,Intercom - CrewCom,AOR Cushion Cover (Ear Sock) 10 Pack for SmartBoom PRO Headsets,74.87,123
SBP-PAD-EAR,Pliant,Intercom - CrewCom,AOR Replacement foam ear pad. For use with SmartBoomPRO headsets.,74.87,123
SBP-PAD-HEAD,Pliant,Intercom - CrewCom,AOR Replacement foam head pad. For SmartBoomPRO headsets. (Adhesive application.),40.17,66
TMA-ANTSYS-09C,Pliant,Intercom - CrewCom,AOR Pliant 2.4GHz 9 dBi directional antenna kit inc. two corner reflector antennas and mounting hardware,2776.87,"4,562.00"
TMA-DMB5/8,Pliant,Intercom - CrewCom,"AOR Mounting bar and studs for use with two PC-ANT-EXTDIR 9dBi corner reflector antennas. INCLUDES: Mounting Bar, ?"" Stud (x2), ?"" Stud Mounting Bracket (x2), RP-TNC to N 4' Cables (x2), Screws (#10-32 x ½"" Phillips Pan Head) (x2)",158.26,260
TMA-MB9DBANT,Pliant,Intercom - CrewCom,"AOR Mounting bracket for 9 dBi corner reflector antenna (PC-ANTEXTDIR) to use with any ?"" stud. ",250.78,412
MH4AAPBH,PowerEx,Batteries & Chargers,"4 pack of PowerEx Imedion AA rechargeable batteries, 2,100mAh. More suitable for sustained power devices, charge will generally last longer than a standard NimH battery",34.7,57
MH4AAPBH,PowerEx,Batteries & Chargers,"4 pack of PowerEx Imedion AA rechargeable batteries, 2,100mAh. More suitable for sustained power devices, charge will generally last longer than a standard NimH battery",34.7,57
MH4AAPROBH,PowerEx,Batteries & Chargers,"4 x AA, 2,700mAh NimH batteries, made in Japan",37.74,62
MH4AAPROBH,PowerEx,Batteries & Chargers,"4 x AA, 2,700mAh NimH batteries, made in Japan",37.74,62
MHC800S,PowerEx,Batteries & Chargers,"8 cell two hour smart charger for AA & AAA - the slower the charge, the longer the batteries will last!",141.22,232
MHC800S,PowerEx,Batteries & Chargers,"8 cell two hour smart charger for AA & AAA - the slower the charge, the longer the batteries will last!",141.22,232
MHC801D,PowerEx,Batteries & Chargers,8 cell one hour fast charger for AA & AAA,199.04,327
MHC801D,PowerEx,Batteries & Chargers,8 cell one hour fast charger for AA & AAA,199.04,327
BOX/601-5K,QuikLok,Cables - Stagebox Multicore,Stage box Multicore - 5m - 8 Input Balanced CH - K/series connectors,161.61,413
BOX/602-10K,QuikLok,Cables - Stagebox Multicore,Stage box Multicore - 10m - 8 Input Balanced CH - K/series connectors,172.57,441
BOX/604-10K,QuikLok,Cables - Stagebox Multicore,Stage box Multicore - 10m - 8 Input/4 Output Balanced CH - K/series connectors,274.3,701
BOX/605-20K,QuikLok,Cables - Stagebox Multicore,Stage box Multicore - 20m - 8 Input/4 Output Balanced CH - K/series connectors,363.13,928
BOX/636-10K,QuikLok,Cables - Stagebox Multicore,Stage box Multicore - 10m - 16 Input/4 Output Balanced CH - K/series connectors,369.78,945
BOX/637-20K,QuikLok,Cables - Stagebox Multicore,Stage box Multicore - 20m - 16 Input/4 Output Balanced CH - K/series connectors,504.78,"1,290.00"
BOX/638-30K,QuikLok,Cables - Stagebox Multicore,Stage box Multicore - 30m - 16 Input/4 Output Balanced CH - K/series connectors,640.17,"1,636.00"
BOX/640-20K,QuikLok,Cables - Stagebox Multicore,Stage box Multicore - 20m - 20 Input/4 Output Balanced CH - K/series connectors,602.22,"1,539.00"
BOX/641-30K,QuikLok,Cables - Stagebox Multicore,Stage box Multicore - 30m - 20 Input/4 Output Balanced CH - K/series connectors,762.26,"1,948.00"
BOX/643-20K,QuikLok,Cables - Stagebox Multicore,Stage box Multicore - 20m - 24 Input/8 Output Balanced CH - K/series connectors,745.04,"1,904.00"
BOX/644-30K,QuikLok,Cables - Stagebox Multicore,Stage box Multicore - 30m - 24 Input/8 Output Balanced CH - K/series connectors,959.48,"2,452.00"
BOX/646-20K,QuikLok,Cables - Stagebox Multicore,Stage box Multicore - 20m - 32 Input/8 Output Balanced CH - K/series connectors,932.09,"2,382.00"
BOX/647-30K,QuikLok,Cables - Stagebox Multicore,Stage box Multicore - 30m - 32 Input/8 Output Balanced CH - K/series connectors,1199.74,"3,066.00"
CA/215 BK,QuikLok,Cables Bulk - Speaker,CA215 (2 x 1.50 mm²) - diameter 7.0mm - Black - 100m reel,256.87,422
CA/215 BK,QuikLok,Cables Bulk - Speaker,CA215 (2 x 1.50 mm²) - diameter 7.0mm - Black - 100m reel,256.87,422
CA/215 BK,QuikLok,Cables Bulk - Speaker,CA215 (2 x 1.50 mm²) - diameter 7.0mm - Black - 100m reel,256.87,422
CA/215 BK,QuikLok,Cables Bulk - Speaker,CA215 (2 x 1.50 mm²) - diameter 7.0mm - Black - 100m reel,256.87,422
CA/215 BK,QuikLok,Cables Bulk - Speaker,CA215 (2 x 1.50 mm²) - diameter 7.0mm - Black - 100m reel,256.87,422
CA/215 BK,QuikLok,Cables Bulk - Speaker,CA215 (2 x 1.50 mm²) - diameter 7.0mm - Black - 100m reel,256.87,422
CA/215 BK,QuikLok,Cables Bulk - Speaker,CA215 (2 x 1.50 mm²) - diameter 7.0mm - Black - 100m reel,256.87,422
CA/215 BK,QuikLok,Cables Bulk - Speaker,CA215 (2 x 1.50 mm²) - diameter 7.0mm - Black - 100m reel,256.87,422
CA/215 BK,QuikLok,Cables Bulk - Speaker,CA215 (2 x 1.50 mm²) - diameter 7.0mm - Black - 100m reel,256.87,422
CA/215 BK,QuikLok,Cables Bulk - Speaker,CA215 (2 x 1.50 mm²) - diameter 7.0mm - Black - 100m reel,256.87,422
CA/215 BK,QuikLok,Cables Bulk - Speaker,CA215 (2 x 1.50 mm²) - diameter 7.0mm - Black - 100m reel,256.87,422
CA/215 BK,QuikLok,Cables Bulk - Speaker,CA215 (2 x 1.50 mm²) - diameter 7.0mm - Black - 100m reel,256.87,422
CA/225 BK,QuikLok,Cables Bulk - Speaker,CA225 (2 x 2.50 mm²) - diameter 8.4mm - Black - 100m reel,403.57,663
CA/225 BK,QuikLok,Cables Bulk - Speaker,CA225 (2 x 2.50 mm²) - diameter 8.4mm - Black - 100m reel,403.57,663
CA/225 BK,QuikLok,Cables Bulk - Speaker,CA225 (2 x 2.50 mm²) - diameter 8.4mm - Black - 100m reel,403.57,663
CA/225 BK,QuikLok,Cables Bulk - Speaker,CA225 (2 x 2.50 mm²) - diameter 8.4mm - Black - 100m reel,403.57,663
CA/225 BK,QuikLok,Cables Bulk - Speaker,CA225 (2 x 2.50 mm²) - diameter 8.4mm - Black - 100m reel,403.57,663
CA/225 BK,QuikLok,Cables Bulk - Speaker,CA225 (2 x 2.50 mm²) - diameter 8.4mm - Black - 100m reel,403.57,663
CA/225 BK,QuikLok,Cables Bulk - Speaker,CA225 (2 x 2.50 mm²) - diameter 8.4mm - Black - 100m reel,403.57,663
CA/225 BK,QuikLok,Cables Bulk - Speaker,CA225 (2 x 2.50 mm²) - diameter 8.4mm - Black - 100m reel,403.57,663
CA/225 BK,QuikLok,Cables Bulk - Speaker,CA225 (2 x 2.50 mm²) - diameter 8.4mm - Black - 100m reel,403.57,663
CA/225 BK,QuikLok,Cables Bulk - Speaker,CA225 (2 x 2.50 mm²) - diameter 8.4mm - Black - 100m reel,403.57,663
CA/225 BK,QuikLok,Cables Bulk - Speaker,CA225 (2 x 2.50 mm²) - diameter 8.4mm - Black - 100m reel,403.57,663
CA/225 BK,QuikLok,Cables Bulk - Speaker,CA225 (2 x 2.50 mm²) - diameter 8.4mm - Black - 100m reel,403.57,663
CA/24 BK,QuikLok,Cables Bulk - Speaker,CA24 (2 x 4.00 mm²) - diameter 10.8mm - Black - 100m reel,723.13,"1,188.00"
CA/24 BK,QuikLok,Cables Bulk - Speaker,CA24 (2 x 4.00 mm²) - diameter 10.8mm - Black - 100m reel,723.13,"1,188.00"
CA/24 BK,QuikLok,Cables Bulk - Speaker,CA24 (2 x 4.00 mm²) - diameter 10.8mm - Black - 100m reel,723.13,"1,188.00"
CA/24 BK,QuikLok,Cables Bulk - Speaker,CA24 (2 x 4.00 mm²) - diameter 10.8mm - Black - 100m reel,723.13,"1,188.00"
CA/24 BK,QuikLok,Cables Bulk - Speaker,CA24 (2 x 4.00 mm²) - diameter 10.8mm - Black - 100m reel,723.13,"1,188.00"
CA/24 BK,QuikLok,Cables Bulk - Speaker,CA24 (2 x 4.00 mm²) - diameter 10.8mm - Black - 100m reel,723.13,"1,188.00"
CA/24 BK,QuikLok,Cables Bulk - Speaker,CA24 (2 x 4.00 mm²) - diameter 10.8mm - Black - 100m reel,723.13,"1,188.00"
CA/24 BK,QuikLok,Cables Bulk - Speaker,CA24 (2 x 4.00 mm²) - diameter 10.8mm - Black - 100m reel,723.13,"1,188.00"
CA/24 BK,QuikLok,Cables Bulk - Speaker,CA24 (2 x 4.00 mm²) - diameter 10.8mm - Black - 100m reel,723.13,"1,188.00"
CA/24 BK,QuikLok,Cables Bulk - Speaker,CA24 (2 x 4.00 mm²) - diameter 10.8mm - Black - 100m reel,723.13,"1,188.00"
CA/24 BK,QuikLok,Cables Bulk - Speaker,CA24 (2 x 4.00 mm²) - diameter 10.8mm - Black - 100m reel,723.13,"1,188.00"
CA/24 BK,QuikLok,Cables Bulk - Speaker,CA24 (2 x 4.00 mm²) - diameter 10.8mm - Black - 100m reel,723.13,"1,188.00"
CA/26 BK,QuikLok,Cables Bulk - Speaker,CA26 (2 x 6.00 mm²) - diameter 12.2mm - Black - 100m reel,1067.65,"1,754.00"
CA/26 BK,QuikLok,Cables Bulk - Speaker,CA26 (2 x 6.00 mm²) - diameter 12.2mm - Black - 100m reel,1067.65,"1,754.00"
CA/26 BK,QuikLok,Cables Bulk - Speaker,CA26 (2 x 6.00 mm²) - diameter 12.2mm - Black - 100m reel,1067.65,"1,754.00"
CA/26 BK,QuikLok,Cables Bulk - Speaker,CA26 (2 x 6.00 mm²) - diameter 12.2mm - Black - 100m reel,1067.65,"1,754.00"
